Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Credit Score Outlier,Credit Score NaN,Current Loan Amount Outlier,Maximum Open Credit Outlier,Annual Income NaN,Years in current job NaN,Bankruptcies NaN,Home Ownership Outlier,Years of Credit History Outlier,Monthly Debt Outlier,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_business,Purpose_educational expenses,Purpose_entertainment,Purpose_needs,Purpose_other,Purpose_purchase,Purpose_renewable energy,Years in current Cat,Credit Score Cat,Monthly Income,Monthly Inc Debt Diff,Current Loan and Monthly Income Diff
Own Home,482087.0,10,0.0,11.0,26.3,685960.0,1.0,1.0,needs,,309573.0,47386.0,7914.0,749.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,4.0,40173.916666666664,32259.916666666664,269399.0833333333
Own Home,1025487.0,10,0.0,15.0,15.3,1181730.0,0.0,0.0,needs,,264968.0,394972.0,18373.0,737.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,4.0,85457.25,67084.25,179510.75
Home Mortgage,751412.0,8,0.0,11.0,35.0,1182434.0,0.0,0.0,needs,,309573.0,308389.0,13651.0,742.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,62617.666666666664,48966.666666666664,246955.33333333334
Own Home,805068.0,6,0.0,8.0,22.5,147400.0,1.0,1.0,needs,,121396.0,95855.0,11338.0,694.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1.0,67089.0,55751.0,54307.0
Rent,776264.0,8,0.0,13.0,13.6,385836.0,1.0,0.0,needs,,125840.0,93309.0,7180.0,719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2.0,64688.666666666664,57508.666666666664,61151.333333333336
Rent,1168386.0,7,0.0,12.0,14.6,366784.0,0.0,0.0,other,,337304.0,165680.0,18692.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4.0,97365.5,78673.5,239938.5
Home Mortgage,1511108.0,10,0.0,9.0,20.3,388124.0,0.0,0.0,needs,,309573.0,51623.0,2317.0,745.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,125925.66666666667,123608.66666666667,183647.3333333333
Rent,1040060.0,10,0.0,13.0,12.0,330374.0,0.0,0.0,other,,250888.0,89015.0,19761.0,705.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2.0,86671.66666666667,66910.66666666667,164216.3333333333
Home Mortgage,1168386.0,5,0.0,17.0,15.7,129734.0,1.0,1.0,needs,,129734.0,19.0,17.0,740.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,97365.5,97348.5,32368.5
Home Mortgage,1168386.0,1,0.0,10.0,24.6,572880.0,0.0,0.0,needs,,572880.0,205333.0,17613.0,740.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,97365.5,79752.5,475514.5
Home Mortgage,1168386.0,0,0.0,7.0,11.5,256322.0,0.0,0.0,needs,,220858.0,187492.0,14592.0,740.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,97365.5,82773.5,123492.5
Home Mortgage,1828560.0,4,0.0,12.0,17.6,839080.0,0.0,0.0,needs,,441100.0,402914.0,15528.0,737.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,152380.0,136852.0,288720.0
Home Mortgage,933432.0,10,0.0,8.0,14.0,443608.0,0.0,0.0,needs,,337766.0,315305.0,19446.0,706.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2.0,77786.0,58340.0,259980.0
Rent,2066364.0,10,0.0,11.0,17.7,1654026.0,0.0,0.0,needs,,549780.0,1037077.0,21869.0,728.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3.0,172197.0,150328.0,377583.0
Own Home,2258796.0,7,0.0,11.0,17.7,1602546.0,0.0,0.0,other,,185262.0,1374327.0,58352.0,748.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4.0,188233.0,129881.0,-2971.0
Rent,848464.0,10,0.0,9.0,18.4,296186.0,0.0,0.0,needs,,145134.0,41439.0,12939.0,727.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3.0,70705.33333333333,57766.33333333333,74428.66666666667
Rent,1168386.0,7,0.0,6.0,17.8,899492.0,0.0,0.0,needs,,313038.0,538346.0,18844.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4.0,97365.5,78521.5,215672.5
Home Mortgage,3361898.0,3,0.0,14.0,28.5,1042096.0,0.0,0.0,needs,,498872.0,689396.0,52249.0,644.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,280158.1666666667,227909.1666666667,218713.8333333333
Home Mortgage,1401744.0,2,0.0,9.0,29.0,553586.0,0.0,0.0,needs,,553586.0,201989.0,13434.0,695.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,116812.0,103378.0,436774.0
Rent,1020072.0,2,0.0,6.0,12.5,309672.0,0.0,0.0,needs,,309672.0,120517.0,14451.0,712.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,85006.0,70555.0,224666.0
Home Mortgage,1651993.0,10,0.0,11.0,26.5,663894.0,0.0,0.0,needs,,585090.0,252852.0,8742.0,697.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1.0,137666.08333333334,128924.08333333334,447423.9166666666
Home Mortgage,1047394.0,6,0.0,7.0,34.4,401104.0,0.0,0.0,needs,,324852.0,183597.0,7786.0,719.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.0,87282.83333333333,79496.83333333333,237569.1666666667
Rent,463790.0,10,0.0,6.0,28.3,309573.0,0.0,0.0,needs,,309573.0,157700.0,5063.0,738.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,38649.166666666664,33586.166666666664,270923.8333333333
Own Home,1168386.0,10,0.0,17.0,14.8,700040.0,0.0,0.0,needs,,174878.0,168074.0,17132.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,4.0,97365.5,80233.5,77512.5
Own Home,1168386.0,10,0.0,12.0,25.0,1216336.0,0.0,0.0,needs,,467676.0,818311.0,37530.0,740.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,4.0,97365.5,59835.5,370310.5
Rent,1353142.0,10,0.0,3.0,29.8,1231912.0,0.0,0.0,other,,108042.0,1036279.0,22225.0,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2.0,112761.83333333333,90536.83333333333,-4719.8333333333285
Home Mortgage,951425.0,2,0.0,20.0,15.8,748880.0,0.0,0.0,other,,66110.0,285874.0,17046.0,742.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,79285.41666666667,62239.41666666667,-13175.416666666672
Rent,1004055.0,8,0.0,7.0,14.5,328394.0,0.0,0.0,needs,,309573.0,195966.0,6041.0,734.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3.0,83671.25,77630.25,225901.75
Home Mortgage,711094.0,10,0.0,12.0,19.5,533808.0,0.0,0.0,needs,,155782.0,262314.0,13807.0,740.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,59257.833333333336,45450.833333333336,96524.16666666666
Rent,1168386.0,10,0.0,9.0,18.6,357918.0,0.0,0.0,needs,,357918.0,72808.0,22352.0,740.0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,97365.5,75013.5,260552.5
Rent,612750.0,7,0.0,8.0,14.0,309573.0,1.0,1.0,needs,,309573.0,147687.0,6128.0,719.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2.0,51062.5,44934.5,258510.5
Own Home,1289796.0,10,0.0,11.0,20.5,845548.0,0.0,0.0,needs,,309573.0,640433.0,26549.0,708.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2.0,107483.0,80934.0,202090.0
Home Mortgage,1526840.0,10,0.0,19.0,25.0,1303082.0,0.0,0.0,needs,,265188.0,495178.0,28247.0,726.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3.0,127236.66666666667,98989.66666666667,137951.3333333333
Home Mortgage,1168386.0,0,0.0,13.0,21.0,101464.0,0.0,0.0,other,,79464.0,60287.0,14003.0,740.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,97365.5,83362.5,-17901.5
Rent,1899050.0,3,0.0,6.0,10.2,802692.0,0.0,0.0,entertainment,,43978.0,550430.0,21839.0,722.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.0,158254.16666666666,136415.16666666666,-114276.16666666666
Rent,1168386.0,0,0.0,9.0,31.4,1457104.0,0.0,0.0,purchase,,155474.0,254201.0,7020.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0,97365.5,90345.5,58108.5
Home Mortgage,1168386.0,6,0.0,8.0,14.5,667458.0,0.0,0.0,other,,667458.0,206758.0,18846.0,740.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4.0,97365.5,78519.5,570092.5
Rent,1168386.0,5,0.0,13.0,18.0,608652.0,0.0,0.0,needs,,122936.0,221825.0,10806.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0,97365.5,86559.5,25570.5
Rent,1395645.0,6,0.0,15.0,17.6,1480182.0,0.0,0.0,needs,,120670.0,58805.0,10200.0,750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0,116303.75,106103.75,4366.25
